ReportNumber,VehicleCrashKey,DriverAtFault,DriverInjurySeverity,DriverSubstanceAbuse,DriverDistractedBy,VehicleType,VehicleMovement,VehicleGoingDir,VehicleDamageExtent,SpeedLimit,ParkedVehicle,SubstanceAbuseContributed,VehiclesCrashedTotal,VehicleKey,LocalCaseNumber,AgencyName,ACRSReportType,HitRun,LaneDirection,LaneNumber,NumberOfLanes,RoadGrade,NonTraffic,OffRoadIncident,AccidentAtFault,CollisionType,SurfaceCondition,Light,TrafficControl,Junction,IntersectionType,RoadAlignment,RoadCondition,RoadDivision,Latitude,Longitude,RoadKey,CrossStreetKey,NonMotoristTotal,NonMotoristInjury,NonMotoristFatal,DateHourKey,LocationAreaKey
MCP28140044,6F7C2E5F8B3C4467BB372B48F8D9E62D,False,NO APPARENT INJURY,NONE,NOT DISTRACTED,PASSENGER,MOVING CONSTANT SPEED,West,SUPERFICIAL,45,False,False,2,3063454661069113,230071098,Montgomery County Police,Property Damage ,False,West,2,3,LEVEL,False,False,DRIVER,SAME DIRECTION SIDESWIPE,UNKNOWN,DAYLIGHT,NO CONTROLS,NON INTERSECTION,UNKNOWN,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.12141371,-77.19764251,729448775661521,6732162884247709,0,0,0,2023121113,7718751639140820
MCP2009002N,D9130735DCF44140A3D14256796B95C1,True,NO APPARENT INJURY,NONE,NOT DISTRACTED,PASSENGER,PASSING,South,DISABLING,30,False,False,2,8801448063900901,230071104,Montgomery County Police,Property Damage ,False,East,1,2,LEVEL,False,False,DRIVER,SAME DIRECTION LEFT TURN,DRY,DAYLIGHT,UNKNOWN,COMMERCIAL DRIVEWAY,UNKNOWN,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",38.9742345,-77.113011,574351171669335,3407679307494955,0,0,0,2023121113,7715220038996189
MCP2009002N,8BAAA7A5D127415899A2D70CA9573646,False,NO APPARENT INJURY,NONE,NOT DISTRACTED,PASSENGER,MAKING LEFT TURN,South,FUNCTIONAL,30,False,False,2,8567421565498965,230071104,Montgomery County Police,Property Damage ,False,East,1,2,LEVEL,False,False,DRIVER,SAME DIRECTION LEFT TURN,DRY,DAYLIGHT,UNKNOWN,COMMERCIAL DRIVEWAY,UNKNOWN,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",38.9742345,-77.113011,574351171669335,3407679307494955,0,0,0,2023121113,7715220038996189
MCP3063004L,C756F47B89354B7E97FE3E8835DD088D,False,NO APPARENT INJURY,NONE,NOT DISTRACTED,PASSENGER,STOPPED IN TRAFFIC LANE,West,SUPERFICIAL,30,False,False,2,240722642832247,230071105,Montgomery County Police,Property Damage ,True,East,1,2,LEVEL,False,False,DRIVER,OTHER,DRY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO DEFECTS,"TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET",38.98805076,-77.02724044,4570729910170239,4087689305064886,0,0,0,2023121113,7703596439001907
MCP3063004L,A6F3E59B9CA44607AFFEFA0CFC560525,True,NO APPARENT INJURY,UNKNOWN,UNKNOWN,UNKNOWN,MOVING CONSTANT SPEED,West,UNKNOWN,30,False,False,2,8168321465439775,230071105,Montgomery County Police,Property Damage ,True,East,1,2,LEVEL,False,False,DRIVER,OTHER,DRY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO DEFECTS,"TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET",38.98805076,-77.02724044,4570729910170239,4087689305064886,0,0,0,2023121113,7703596439001907
MCP3163006D,C08F93A6E2994A37A250CC4A5126F6FF,True,NO APPARENT INJURY,UNKNOWN,LOOKED BUT DID NOT SEE,PASSENGER,BACKING,South,FUNCTIONAL,15,False,False,2,4579921848039303,230071148,Montgomery County Police,Property Damage ,True,UNKNOWN,0,0,UNKNOWN,True,True,DRIVER,STRAIGHT MOVEMENT ANGLE,UNKNOWN,DAYLIGHT,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,39.0236765,-77.10577,7781945108562677,7781945108562677,0,0,0,2023121114,7712482939051552
MCP3163006D,628BDD10FD3743E3853F67E029175A11,False,NO APPARENT INJURY,UNKNOWN,NOT DISTRACTED,PASSENGER,PARKING,South,DISABLING,15,False,False,2,5867016918513716,230071148,Montgomery County Police,Property Damage ,True,UNKNOWN,0,0,UNKNOWN,True,True,DRIVER,STRAIGHT MOVEMENT ANGLE,UNKNOWN,DAYLIGHT,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,39.0236765,-77.10577,7781945108562677,7781945108562677,0,0,0,2023121114,7712482939051552
MCP33720021,0BAC702B19D244FBAA067888A58E5D59,True,NO APPARENT INJURY,NONE,LOOKED BUT DID NOT SEE,BUS,SLOWING OR STOPPING,South,FUNCTIONAL,25,False,False,2,6691677547236723,230071123,Montgomery County Police,Property Damage ,False,South,1,3,LEVEL,False,False,DRIVER,SAME DIR REAR END,DRY,DAYLIGHT,TRAFFIC SIGNAL,INTERSECTION,T-INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET",39.09170838,-77.06282288,4506373220064526,3786639377990067,0,0,0,2023121115,7705486039088590
MCP33720021,F5C8B482EA344880828A7B24BC3202A3,False,NO APPARENT INJURY,NONE,UNKNOWN,PASSENGER,STOPPED IN TRAFFIC LANE,South,FUNCTIONAL,25,False,False,2,5867016717182288,230071123,Montgomery County Police,Property Damage ,False,South,1,3,LEVEL,False,False,DRIVER,SAME DIR REAR END,DRY,DAYLIGHT,TRAFFIC SIGNAL,INTERSECTION,T-INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET",39.09170838,-77.06282288,4506373220064526,3786639377990067,0,0,0,2023121115,7705486039088590
MCP2108001Q,ED1E03F005FA4A72801E9AE5D1370BA3,False,NO APPARENT INJURY,NONE,NOT DISTRACTED,PASSENGER,MAKING LEFT TURN,South,SUPERFICIAL,40,False,False,2,6885860982678890,230071129,Montgomery County Police,Property Damage ,True,East,2,6,LEVEL,False,False,DRIVER,SAME DIRECTION LEFT TURN,WET,DAYLIGHT,TRAFFIC SIGNAL,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.12048583,-77.1801563,1611524329361443,1480188368836194,0,0,0,2023121115,7718751639140820
MCP2108001Q,0A8A35B7E4B94D91B243DBE8954F1380,True,NO APPARENT INJURY,UNKNOWN,UNKNOWN,PASSENGER,MAKING LEFT TURN,South,UNKNOWN,40,False,False,2,5082261773572766,230071129,Montgomery County Police,Property Damage ,True,East,2,6,LEVEL,False,False,DRIVER,SAME DIRECTION LEFT TURN,WET,DAYLIGHT,TRAFFIC SIGNAL,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.12048583,-77.1801563,1611524329361443,1480188368836194,0,0,0,2023121115,7718751639140820
DD56510046,3ADD7AA7DC21414EA6C23C38C9BC5564,True,NO APPARENT INJURY,NONE,NOT DISTRACTED,EMERGENCY,SLOWING OR STOPPING,East,DISABLING,30,False,False,2,4231424009270268,230071135,Rockville Police Departme,Property Damage ,False,East,1,2,GRADE DOWNHILL,False,False,DRIVER,SAME DIR REAR END,DRY,DAYLIGHT,TRAFFIC SIGNAL,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.07585047,-77.16255338,8203864555493010,6974378147359885,0,0,0,2023121116,7718114539090864
DD56510046,4CFB77A3C9824082854B2665137D03AF,False,NO APPARENT INJURY,NONE,NOT DISTRACTED,PASSENGER,SLOWING OR STOPPING,East,DISABLING,30,False,False,2,5826783019741363,230071135,Rockville Police Departme,Property Damage ,False,East,1,2,GRADE DOWNHILL,False,False,DRIVER,SAME DIR REAR END,DRY,DAYLIGHT,TRAFFIC SIGNAL,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.07585047,-77.16255338,8203864555493010,6974378147359885,0,0,0,2023121116,7718114539090864
MCP3170003Q,1F20C45A0363450D88F280ED1C207B0F,False,NO APPARENT INJURY,NONE,NOT DISTRACTED,PASSENGER,STOPPED IN TRAFFIC LANE,West,NO DAMAGE,35,False,False,2,8583918126629361,230071137,Montgomery County Police,Injury ,False,West,0,2,LEVEL,False,False,DRIVER,SAME DIR REAR END,DRY,DAYLIGHT,TRAFFIC SIGNAL,UNKNOWN,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.17104927,-77.26268328,756079554807696,7771692879388507,0,0,0,2023121116,7729807639132189
MCP3170003Q,7EA9210A450C4BA28E8F411D2B8F5AE4,True,NO APPARENT INJURY,NONE,LOOKED BUT DID NOT SEE,PASSENGER,MAKING LEFT TURN,West,NO DAMAGE,35,False,False,2,395683982845356,230071137,Montgomery County Police,Injury ,False,West,0,2,LEVEL,False,False,DRIVER,SAME DIR REAR END,DRY,DAYLIGHT,TRAFFIC SIGNAL,UNKNOWN,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.17104927,-77.26268328,756079554807696,7771692879388507,0,0,0,2023121116,7729807639132189
MCP33720022,5B6D5D08C828498EB07DFAE954E6C0CC,True,NO APPARENT INJURY,NONE,LOOKED BUT DID NOT SEE,PASSENGER,MOVING CONSTANT SPEED,South,FUNCTIONAL,25,False,False,1,7259118807795376,230071155,Montgomery County Police,Property Damage ,True,South,1,2,LEVEL,False,False,DRIVER,SAME DIRECTION SIDESWIPE,DRY,DARK LIGHTS ON,NO CONTROLS,NON INTERSECTION,UNKNOWN,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET",39.08934174,-77.07601492,3930092392648356,2128650102927787,0,0,0,2023121116,7705486039088590
MCP3233004D,DBC6D3B4E6D5456EB461FB6530DFA94F,False,POSSIBLE INJURY,NONE,NOT DISTRACTED,PASSENGER,MOVING CONSTANT SPEED,South,DISABLING,40,False,False,3,7743341891797821,230070965,Montgomery County Police,Injury ,False,North,1,2,LEVEL,False,False,DRIVER,SAME DIRECTION RIGHT TURN,WET,DARK LIGHTS ON,NO CONTROLS,NON INTERSECTION,UNKNOWN,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET",39.00083006,-76.98908107,7883959838840872,4977678367391385,0,0,0,2023121117,7698354239018293
MCP3233004D,2E2F0265FE9A458293052BCB1AB8FC98,True,NO APPARENT INJURY,NONE,INATTENTIVE OR LOST IN THOUGHT,PASSENGER,MOVING CONSTANT SPEED,North,SUPERFICIAL,40,False,False,3,125891039943473,230070965,Montgomery County Police,Injury ,False,North,1,2,LEVEL,False,False,DRIVER,SAME DIRECTION RIGHT TURN,WET,DARK LIGHTS ON,NO CONTROLS,NON INTERSECTION,UNKNOWN,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET",39.00083006,-76.98908107,7883959838840872,4977678367391385,0,0,0,2023121117,7698354239018293
MCP3233004D,0EB90BD213634AB99F52BEED5163FD90,False,NO APPARENT INJURY,NONE,NOT DISTRACTED,PASSENGER,MOVING CONSTANT SPEED,North,SUPERFICIAL,40,False,False,3,9886165035923942,230070965,Montgomery County Police,Injury ,False,North,1,2,LEVEL,False,False,DRIVER,SAME DIRECTION RIGHT TURN,WET,DARK LIGHTS ON,NO CONTROLS,NON INTERSECTION,UNKNOWN,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET",39.00083006,-76.98908107,7883959838840872,4977678367391385,0,0,0,2023121117,7698354239018293
DD5666000B,E2C0C0709D1143D0A4AFD4C8E05EE44D,False,NO APPARENT INJURY,NONE,NOT DISTRACTED,PASSENGER,MOVING CONSTANT SPEED,West,DISABLING,35,False,False,4,4834438414639709,230071167,Rockville Police Departme,Property Damage ,False,West,1,2,LEVEL,False,False,DRIVER,OTHER,DRY,DARK NO LIGHTS,STOP SIGN,INTERSECTION,T-INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.08692782,-77.13508036,418179445979580,7569966194131326,0,0,0,2023121118,7712156139078053
DD5666000B,EA51299793E049989EFACC1BCB6406AB,True,NO APPARENT INJURY,UNKNOWN,NOT DISTRACTED,PASSENGER,ACCELERATING,East,DISABLING,35,False,False,4,8801447980012806,230071167,Rockville Police Departme,Property Damage ,False,West,1,2,LEVEL,False,False,DRIVER,OTHER,DRY,DARK NO LIGHTS,STOP SIGN,INTERSECTION,T-INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.08692782,-77.13508036,418179445979580,7569966194131326,0,0,0,2023121118,7712156139078053
DD5666000B,95CD511E23844BB5A1BED6836B8AA4A6,False,NO APPARENT INJURY,NONE,NOT DISTRACTED,PASSENGER,MOVING CONSTANT SPEED,West,DISABLING,35,False,False,4,819104244733174,230071167,Rockville Police Departme,Property Damage ,False,West,1,2,LEVEL,False,False,DRIVER,OTHER,DRY,DARK NO LIGHTS,STOP SIGN,INTERSECTION,T-INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.08692782,-77.13508036,418179445979580,7569966194131326,0,0,0,2023121118,7712156139078053
DD5666000B,2B7FACF9110C4C378A45F2809F6B29F6,False,NO APPARENT INJURY,NONE,NOT DISTRACTED,PASSENGER,MOVING CONSTANT SPEED,West,FUNCTIONAL,35,False,False,4,3472377552153957,230071167,Rockville Police Departme,Property Damage ,False,West,1,2,LEVEL,False,False,DRIVER,OTHER,DRY,DARK NO LIGHTS,STOP SIGN,INTERSECTION,T-INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.08692782,-77.13508036,418179445979580,7569966194131326,0,0,0,2023121118,7712156139078053
MCP2780007H,82458D613D3345CE958A1A518773E54A,False,POSSIBLE INJURY,NONE,NOT DISTRACTED,PASSENGER,MOVING CONSTANT SPEED,East,FUNCTIONAL,15,False,False,2,3097115414319252,230071164,Montgomery County Police,Injury ,False,UNKNOWN,0,0,UNKNOWN,True,True,DRIVER,STRAIGHT MOVEMENT ANGLE,UNKNOWN,DARK LIGHTS ON,NO CONTROLS,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,39.20015717,-77.24660567,7781945108562677,7781945108562677,0,0,0,2023121118,7723271939208770
MCP2780007H,BE2397370D174475BBE5E552670376EB,True,POSSIBLE INJURY,NONE,LOOKED BUT DID NOT SEE,PASSENGER,MAKING LEFT TURN,West,FUNCTIONAL,15,False,False,2,5457129328068097,230071164,Montgomery County Police,Injury ,False,UNKNOWN,0,0,UNKNOWN,True,True,DRIVER,STRAIGHT MOVEMENT ANGLE,UNKNOWN,DARK LIGHTS ON,NO CONTROLS,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,39.20015717,-77.24660567,7781945108562677,7781945108562677,0,0,0,2023121118,7723271939208770
MCP33390035,364116F827F944C6AB92EC516AE82830,True,NO APPARENT INJURY,NONE,INATTENTIVE OR LOST IN THOUGHT,PASSENGER,ACCELERATING,West,NO DAMAGE,25,False,False,2,8783130932603302,230071165,Montgomery County Police,Injury ,False,West,0,1,LEVEL,False,False,DRIVER,SAME DIR REAR END,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,INTERSECTION,T-INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.06936267,-77.10500967,4115245564239867,9290911226978796,0,0,0,2023121118,7709494939102237
MCP33390035,27A6C8F2365A4612AF228A50B47382C0,False,POSSIBLE INJURY,NONE,NOT DISTRACTED,PASSENGER,MAKING RIGHT TURN,West,NO DAMAGE,25,False,False,2,9530107266675451,230071165,Montgomery County Police,Injury ,False,West,0,1,LEVEL,False,False,DRIVER,SAME DIR REAR END,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,INTERSECTION,T-INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.06936267,-77.10500967,4115245564239867,9290911226978796,0,0,0,2023121118,7709494939102237
EJ7875004B,CAE780D50E1749929B8BE8D20C2A6109,False,SUSPECTED SERIOUS INJURY,UNKNOWN,NOT DISTRACTED,PASSENGER,MOVING CONSTANT SPEED,East,DESTROYED,35,False,False,2,3233063173565461,230071170,Gaithersburg Police Depar,Injury ,False,West,0,3,LEVEL,False,False,DRIVER,ANGLE MEETS LEFT TURN,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.14014077,-77.20496427,4261994559990100,6421645165822542,0,0,0,2023121119,7718751639140820
EJ7875004B,628EAA60AD5F49CF8CD0479762CF56B5,True,POSSIBLE INJURY,UNKNOWN,NOT DISTRACTED,PASSENGER,ACCELERATING,West,DESTROYED,35,False,False,2,3233063173565461,230071170,Gaithersburg Police Depar,Injury ,False,West,0,3,LEVEL,False,False,DRIVER,ANGLE MEETS LEFT TURN,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.14014077,-77.20496427,4261994559990100,6421645165822542,0,0,0,2023121119,7718751639140820
EJ7886003B,5998162CDB9549A1AE993E2859B00559,False,NO APPARENT INJURY,NONE,NOT DISTRACTED,PASSENGER,STOPPED IN TRAFFIC LANE,North,DISABLING,15,False,False,2,1875139629896222,230071182,Gaithersburg Police Depar,Property Damage ,False,UNKNOWN,0,0,UNKNOWN,True,True,DRIVER,HEAD ON,UNKNOWN,DARK LIGHTS ON,NO CONTROLS,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,39.141415,-77.18326383,7781945108562677,7781945108562677,0,0,0,2023121119,7718751639140820
EJ7886003B,DB7B4E57A7EC41C99464E447442DE29C,True,NO APPARENT INJURY,NONE,LOOKED BUT DID NOT SEE,PASSENGER,MAKING RIGHT TURN,South,FUNCTIONAL,15,False,False,2,5867016935291335,230071182,Gaithersburg Police Depar,Property Damage ,False,UNKNOWN,0,0,UNKNOWN,True,True,DRIVER,HEAD ON,UNKNOWN,DARK LIGHTS ON,NO CONTROLS,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,39.141415,-77.18326383,7781945108562677,7781945108562677,0,0,0,2023121119,7718751639140820
MCP3256002N,945FC50220BF413DA10BC0925711448D,False,NO APPARENT INJURY,NONE,NOT DISTRACTED,PASSENGER,SLOWING OR STOPPING,South,FUNCTIONAL,55,False,False,2,2311894293034113,230071180,Montgomery County Police,Property Damage ,False,South,2,3,LEVEL,False,False,DRIVER,SAME DIR REAR END,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,INTERSECTION RELATED,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.07362383,-76.95564633,2620072274155517,1121551715469239,0,0,0,2023121120,7698062539067210
MCP3256002N,965F4973F4644DCE8849CEC730BDC8CE,True,NO APPARENT INJURY,NONE,LOOKED BUT DID NOT SEE,PASSENGER,SLOWING OR STOPPING,South,FUNCTIONAL,55,False,False,2,7004010104313884,230071180,Montgomery County Police,Property Damage ,False,South,2,3,LEVEL,False,False,DRIVER,SAME DIR REAR END,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,INTERSECTION RELATED,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.07362383,-76.95564633,2620072274155517,1121551715469239,0,0,0,2023121120,7698062539067210
MCP9392001L,2FE6A81319374646BC06FD8DD86FBD36,True,NO APPARENT INJURY,NONE,NOT DISTRACTED,PASSENGER,MAKING U TURN,South,SUPERFICIAL,35,False,False,2,169882067601848,230071191,Montgomery County Police,Property Damage ,True,North,1,2,LEVEL,False,False,DRIVER,OPPOSITE DIRECTION SIDESWIPE,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.1843692,-77.2109918,3572611418984580,8201944609283456,0,0,0,2023121123,7719610239179289
MCP9392001L,737E8A9DA9CA46228703311108A6E29A,False,NO APPARENT INJURY,NONE,NOT DISTRACTED,PASSENGER,MOVING CONSTANT SPEED,South,SUPERFICIAL,35,False,False,2,169882067601848,230071191,Montgomery County Police,Property Damage ,True,North,1,2,LEVEL,False,False,DRIVER,OPPOSITE DIRECTION SIDESWIPE,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.1843692,-77.2109918,3572611418984580,8201944609283456,0,0,0,2023121123,7719610239179289
MCP2582004X,2D94DCD23D294F27AE093AAE4C7DE3BC,True,NO APPARENT INJURY,NONE,UNKNOWN,PASSENGER,NEGOTIATING A CURVE,North,DISABLING,30,False,False,1,6578981069363712,230071192,Montgomery County Police,Property Damage ,False,North,1,1,LEVEL,False,False,DRIVER,SAME DIR REAR END,DRY,DARK LIGHTS ON,NO CONTROLS,NON INTERSECTION,UNKNOWN,CURVE RIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.08312283,-77.03997933,7202992605268112,2656618826320477,0,0,0,2023121123,7705486039088590
MCP29320076,DF90002839FE461583A05959F02AFBF0,False,SUSPECTED MINOR INJURY,NONE,NOT DISTRACTED,PASSENGER,MOVING CONSTANT SPEED,North,DISABLING,40,False,False,1,4505130572397428,230071204,Montgomery County Police,Injury ,False,North,1,3,LEVEL,False,False,UNKNOWN,SINGLE VEHICLE,ICE,DARK LIGHTS ON,UNKNOWN,NON INTERSECTION,UNKNOWN,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.03637867,-76.98909033,8901981419077344,1843891028405792,0,0,0,2023121205,7700923739021308
MCP3170003X,D45D03FDA5324241BE028033904C743A,True,NO APPARENT INJURY,UNKNOWN,UNKNOWN,TRUCK,MAKING LEFT TURN,North,UNKNOWN,0,False,False,1,9358925036124646,240001395,Montgomery County Police,Property Damage ,True,UNKNOWN,0,0,UNKNOWN,True,True,DRIVER,OTHER,UNKNOWN,DARK LIGHTS ON,NO CONTROLS,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,39.18033651,-77.2730184,7781945108562677,7781945108562677,0,0,0,2023121205,7729807639132189
MCP3374001N,7B8E0D7317954040B68201F166FA7D12,True,SUSPECTED MINOR INJURY,NONE,OTHER CELLULAR PHONE RELATED,PASSENGER,MOVING CONSTANT SPEED,East,DESTROYED,35,False,False,2,8336304027396468,230071205,Montgomery County Police,Injury ,False,South,1,3,LEVEL,False,False,DRIVER,STRAIGHT MOVEMENT ANGLE,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.022331,-77.102963,5925405510732472,9624603609515706,0,0,0,2023121205,7710519939016894
MCP3374001N,9D469AA87E1542B598EFBF639D1C4376,False,SUSPECTED MINOR INJURY,NONE,NOT DISTRACTED,PASSENGER,MOVING CONSTANT SPEED,South,DESTROYED,35,False,False,2,2256237855646045,230071205,Montgomery County Police,Injury ,False,South,1,3,LEVEL,False,False,DRIVER,STRAIGHT MOVEMENT ANGLE,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.022331,-77.102963,5925405510732472,9624603609515706,0,0,0,2023121205,7710519939016894
MCP2816003T,1F981630E96C4EA8B2CCA39FA8568BE8,True,NO APPARENT INJURY,NONE,INATTENTIVE OR LOST IN THOUGHT,PASSENGER,MOVING CONSTANT SPEED,South,DISABLING,40,False,False,3,1093417168968825,230071207,Montgomery County Police,Injury ,False,South,2,3,UNKNOWN,False,False,DRIVER,OTHER,ICE,DARK LIGHTS ON,NO CONTROLS,UNKNOWN,UNKNOWN,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.11972667,-77.17294333,4972572914805173,6260873934971691,0,0,0,2023121205,7713230839137712
MCP2816003T,4903293769204493AEECAF439D1C2415,True,NO APPARENT INJURY,NONE,UNKNOWN,PASSENGER,MOVING CONSTANT SPEED,South,DISABLING,40,False,False,3,2126610833858974,230071207,Montgomery County Police,Injury ,False,South,2,3,UNKNOWN,False,False,DRIVER,OTHER,ICE,DARK LIGHTS ON,NO CONTROLS,UNKNOWN,UNKNOWN,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.11972667,-77.17294333,4972572914805173,6260873934971691,0,0,0,2023121205,7713230839137712
MCP2816003T,79CEBE24F7544E3BA18704A965A08D73,False,NO APPARENT INJURY,NONE,NOT DISTRACTED,PASSENGER,MOVING CONSTANT SPEED,South,FUNCTIONAL,40,False,False,3,1032943166774445,230071207,Montgomery County Police,Injury ,False,South,2,3,UNKNOWN,False,False,DRIVER,OTHER,ICE,DARK LIGHTS ON,NO CONTROLS,UNKNOWN,UNKNOWN,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.11972667,-77.17294333,4972572914805173,6260873934971691,0,0,0,2023121205,7713230839137712
MCP3362002F,47DB10200B814CDC93AE8BB172FE54DA,True,NO APPARENT INJURY,NONE,DISTRACTED BY OUTSIDE PERSON OBJECT OR EVENT,PASSENGER,MOVING CONSTANT SPEED,West,DESTROYED,35,False,False,3,6044518214119771,230071873,Montgomery County Police,Property Damage ,False,West,3,3,LEVEL,False,False,DRIVER,SAME DIR REAR END,ICE,DAWN,NO CONTROLS,NON INTERSECTION,UNKNOWN,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.02698731,-77.02024175,5963249679537482,5352152355981673,0,0,0,2023121206,7700923739021308
MCP3362002F,21BA7763689146759DE80B490FD11014,True,NO APPARENT INJURY,NONE,DISTRACTED BY OUTSIDE PERSON OBJECT OR EVENT,PASSENGER,MOVING CONSTANT SPEED,West,FUNCTIONAL,35,False,False,3,9088251124607475,230071873,Montgomery County Police,Property Damage ,False,West,3,3,LEVEL,False,False,DRIVER,SAME DIR REAR END,ICE,DAWN,NO CONTROLS,NON INTERSECTION,UNKNOWN,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.02698731,-77.02024175,5963249679537482,5352152355981673,0,0,0,2023121206,7700923739021308
